instrument,datetime,$close,$volume
SH600000,2010-01-04,7.6336727,183737820.0
SH600000,2010-01-05,7.691313,319634430.0
SH600000,2010-01-06,7.5400095,268654750.0
SH600000,2010-01-07,7.370692,236603300.0
SH600000,2010-01-08,7.4535494,182395150.0
SH600000,2010-01-11,7.4535494,322845730.0
SH600000,2010-01-12,7.4931755,228595140.0
SH600000,2010-01-13,7.1437354,406384860.0
SH600000,2010-01-14,7.19417,214687060.0
SH600000,2010-01-15,7.219387,192044100.0
SH600000,2010-01-18,7.2914367,194144160.0
SH600000,2010-01-19,7.3310637,194216140.0
SH600000,2010-01-20,7.1293254,224224180.0
SH600000,2010-01-21,7.374294,259315700.0
SH600000,2010-01-22,7.529201,428720220.0
SH600000,2010-01-25,7.370692,222714720.0
SH600000,2010-01-26,7.4535494,255202900.0
SH600000,2010-01-27,7.1545424,261664560.0
SH600000,2010-01-28,7.0969014,162919900.0
SH600000,2010-01-29,7.0680833,149036130.0
SH600000,2010-02-01,6.923982,143427020.0
SH600000,2010-02-02,6.931188,135932660.0
SH600000,2010-02-03,7.1653485,212334020.0
SH600000,2010-02-04,7.082493,128139470.0
SH600000,2010-02-05,6.9960327,121848980.0
SH600000,2010-02-08,6.923982,103347960.0
SH600000,2010-02-09,6.9960327,73549690.0
SH600000,2010-02-10,7.089697,85245224.0
SH600000,2010-02-11,7.0752873,75990504.0
SH600000,2010-02-12,7.13653,82394460.0
SH600000,2010-02-22,7.089697,92798984.0
SH600000,2010-02-23,7.0212502,84860630.0
SH600000,2010-02-24,7.082493,108198424.0
SH600000,2010-02-25,7.471562,539837800.0
SH600000,2010-02-26,,
SH600000,2010-03-01,,
SH600000,2010-03-02,,
SH600000,2010-03-03,,
SH600000,2010-03-04,,
SH600000,2010-03-05,,
SH600000,2010-03-08,,
SH600000,2010-03-09,,
SH600000,2010-03-10,,
SH600000,2010-03-11,7.6733003,639201900.0
SH600000,2010-03-12,7.5796347,207944460.0
SH600000,2010-03-15,7.4499474,161353220.0
SH600000,2010-03-16,7.6336727,156400260.0
SH600000,2010-03-17,7.8065925,251882580.0
SH600000,2010-03-18,7.8174,247006530.0
SH600000,2010-03-19,7.853426,124238296.0
SH600000,2010-03-22,8.001128,268247970.0
SH600000,2010-03-23,7.925474,173675100.0
SH600000,2010-03-24,7.936282,141826740.0
SH600000,2010-03-25,7.7849774,145766720.0
