,,feature,feature
datetime,instrument,NLP-0,NLP-1
2018/7/2,SH600096,0.006144213,-0.313383938
2018/7/2,SZ000538,0.000182606,-0.043817625
2018/7/2,SZ000560,-7.79266E-05,-0.002413723
2018/7/2,SZ000878,0.000645963,-0.111583246
2018/7/2,SZ002053,0.000948233,0.09149758
2018/7/2,SZ002059,0,0
2018/7/2,SZ002265,0.000894653,-0.10863119
2018/7/2,SZ002428,0.00090816,-0.102279693
2018/7/2,SZ002727,-0.000908139,-0.023704997
2018/7/2,SZ002750,6.1549E-05,-0.084819135
2018/7/3,SH600096,0.017310976,-0.655416357
2018/7/3,SZ000538,-7.10497E-05,-0.060647203
2018/7/3,SZ000560,-9.01662E-05,-0.068432971
2018/7/3,SZ000878,0.000610731,-0.095559587
2018/7/3,SZ002053,-0.009293699,-0.417917487
2018/7/3,SZ002059,0,0
2018/7/3,SZ002265,0.000329332,-0.071959662
2018/7/3,SZ002428,0.005060092,-0.225672981
2018/7/3,SZ002727,-0.000269387,0.0392156
2018/7/3,SZ002750,-0.000428677,-0.136379776
2018/7/4,SH600096,0.001845708,-0.171366787
2018/7/4,SZ000538,0.000759926,-0.145691103
2018/7/4,SZ000560,-9.26703E-06,-0.01247213
2018/7/4,SZ000878,0.000192751,-0.068739632
2018/7/4,SZ002053,-0.04580312,-1.726461894
2018/7/4,SZ002059,0,0
2018/7/4,SZ002265,0.001133861,-0.111614636
2018/7/4,SZ002428,9.64368E-05,-0.066872171
2018/7/4,SZ002727,0.001031754,-0.097262059
2018/7/4,SZ002750,0.00063479,-0.126922965
2018/7/5,SH600096,0.003609082,-0.25124254
2018/7/5,SZ000538,-0.001620934,-0.292475086
2018/7/5,SZ000560,-6.73157E-05,-0.086881091
2018/7/5,SZ000878,-0.000120875,-0.017562943
2018/7/5,SZ002053,-0.038388413,-1.414996717
2018/7/5,SZ002059,0,0
2018/7/5,SZ002265,0.008269819,-0.330114294
2018/7/5,SZ002428,0.005712244,-0.225448345
2018/7/5,SZ002727,0.003471863,0.252477956
2018/7/5,SZ002750,0.000538411,-0.16517996
2018/7/6,SH600096,-2.17359E-05,0.077657701
2018/7/6,SZ000538,0.000158926,-0.072781515
2018/7/6,SZ000560,-0.001350602,-0.01065916
2018/7/6,SZ000878,-1.80718E-06,-0.015549295
2018/7/6,SZ002053,0.018473664,2.02032103
2018/7/6,SZ002059,0,0
2018/7/6,SZ002265,0.020425478,-0.931723164
2018/7/6,SZ002428,0.001713952,-0.123687863
2018/7/6,SZ002727,0.001117115,0.10313912
2018/7/6,SZ002750,0.000192313,-0.087352438
2018/7/9,SH600096,0.000369237,-0.062843251
2018/7/9,SZ000538,-0.000152996,-0.081972216
2018/7/9,SZ000560,-0.000312615,0.020480922
2018/7/9,SZ000878,-4.1079E-05,-0.01755776
2018/7/9,SZ002053,0,0.054053277
2018/7/9,SZ002059,0,0
2018/7/9,SZ002265,0.037463207,-0.779701598
2018/7/9,SZ002428,0.00133479,-0.108391547
2018/7/9,SZ002727,-0.000315494,-0.131125176
2018/7/9,SZ002750,0.003621479,-0.197716436
