,,2023-04-16_risk
excess_return_without_cost,mean,-0.0014118433908150675
excess_return_without_cost,std,0.012366154605787752
excess_return_without_cost,annualized_return,-0.33601872701398605
excess_return_without_cost,information_ratio,-1.7613283755306008
excess_return_without_cost,max_drawdown,-0.10147539510767761
excess_return_with_cost,mean,-0.0015348183815245288
excess_return_with_cost,std,0.012380068677929838
excess_return_with_cost,annualized_return,-0.3652867748028379
excess_return_with_cost,information_ratio,-1.9125923591496117
excess_return_with_cost,max_drawdown,-0.10446341506403228
