,,feature,feature,feature,feature,feature,feature,feature,feature,label
,,KLEN,OPEN0,HIGH0,LOW0,ROC5,RSQR5,RESI5,WVMA5,"Ref($close, -2) / Ref($close, -1) - 1"
datetime,instrument,,,,,,,,,
2018-07-02,SH600096,0.7391386,1.3716115,1.6600927,0.35612732,0.05175033,0.43780997,-0.504695,-1.1053219,-0.0058708787
2018-07-02,SZ000538,0.7436174,0.74253553,1.7135044,0.44421676,0.25596163,-1.1985326,0.03734328,-0.36399755,-0.022543669
2018-07-02,SZ000560,0.2742837,0.784228,0.6793473,-0.000613407,0.17467788,-0.9678458,1.4233987,-1.797657,-0.021238923
2018-07-02,SZ000878,0.89600384,1.8312856,1.755564,0.21252193,0.6100054,-0.33619145,-0.920908,0.32393652,-0.013874173
2018-07-02,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-02,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-02,SZ002265,0.81439453,0.7924871,0.92131364,-0.4748032,-1.1484139,0.23585139,-0.1275762,0.29595926,-0.041916072
2018-07-02,SZ002428,1.0318302,0.6642864,1.6847901,0.033517186,-0.29938954,-1.279713,0.40738806,-0.53688043,-0.023255825
2018-07-02,SZ002727,1.2644284,-1.0715655,0.9375122,-0.92400587,-1.091658,-0.63669443,1.0620357,-0.37584722,-0.03981048
2018-07-03,SH600096,0.8139281,-2.0994732,-0.9227706,-2.2021782,-0.16851416,-1.2289914,1.4230587,-0.3829399,-0.03346455
2018-07-03,SZ000538,0.70437324,0.4081879,0.12212144,-1.1321133,0.2089734,-0.670253,-0.80434006,-0.3435962,-0.016056657
2018-07-03,SZ000560,0.08718266,0.69955736,0.8639864,0.44561657,0.0978915,-0.21362528,-1.1399522,-2.1333616,-0.009041607
2018-07-03,SZ000878,0.34180513,-0.7833967,-1.0888638,-1.8417361,0.3647194,-0.87863016,0.3326026,-0.358979,-0.024891675
2018-07-03,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-03,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-03,SZ002265,0.79636663,-1.4490428,-0.50802314,-1.7908967,-1.101873,0.6476055,0.5331867,0.28652772,-0.03839284
2018-07-03,SZ002428,0.6283286,-0.58361405,-1.0888638,-2.2273016,-0.15290567,-0.674952,0.29527485,-0.33324674,-0.037037015
2018-07-03,SZ002727,2.212144,1.9624412,1.8609506,-1.4884609,0.19337152,-0.44115344,-2.2778728,-0.46030134,-0.029285908
2018-07-04,SH600096,-0.45482218,0.22230159,-0.08641584,0.20260255,-0.16928181,-0.57760346,-2.237538e-06,-0.40275115,0.02240324
2018-07-04,SZ000538,0.13340166,1.3462285,1.0007786,0.49484116,0.23628856,-1.0233902,-1.3849782,-0.18120413,0.01074183
2018-07-04,SZ000560,-0.46667597,0.81684697,0.5993967,0.90927887,0.12246696,-1.2582986,-1.9161066,-2.201033,0.04197073
2018-07-04,SZ000878,-0.530522,0.36665696,0.013395922,0.40198603,0.46651533,-0.533108,-0.31480098,-0.68646014,-0.0033297539
2018-07-04,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-04,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-04,SZ002265,1.358663,2.3694983,2.4728124,0.28299034,-0.097628124,-1.0643699,-2.3744628,-0.487667,-0.0018570423
2018-07-04,SZ002428,0.35619938,1.045644,1.1564809,0.3702514,0.22620055,-0.94753265,-1.6489388,-1.0026166,0.010988951
2018-07-04,SZ002727,1.3673048,2.3410795,3.0,1.0393997,0.42217946,-1.1469885,-3.0,-0.47524068,0.03728807
2018-07-05,SH600096,0.47167444,1.839989,2.0226123,1.06834,0.36887,-1.1704048,-1.7349093,-0.8746471,0.009960175
2018-07-05,SZ000538,0.18425614,1.0275373,0.5648041,-0.010385976,0.5064941,1.0174322,-0.302057,-0.81714225,0.021156192
2018-07-05,SZ000560,-0.44609246,0.51519233,0.30505064,0.58680505,0.0023691328,0.39020917,-0.34122318,-1.6887465,0.021015644
2018-07-05,SZ000878,-0.36291823,0.8773596,0.8893314,1.06834,0.849076,0.5281007,-0.66872084,-1.2982314,0.026726127
2018-07-05,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-05,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-05,SZ002265,1.6954464,1.8873961,3.0,0.49663946,0.6422362,-0.059852388,-2.1220274,-1.2780048,0.04558134
2018-07-05,SZ002428,0.86300254,1.6287869,2.525273,1.06834,0.3583717,0.32317075,-1.6552778,-1.0537329,0.01902175
2018-07-05,SZ002727,2.8006082,1.3398407,3.0,-1.0188376,0.9027534,0.8824689,-0.6902026,-1.2780409,0.039215684
2018-07-06,SH600096,3.0,-1.237272,0.09464158,-3.0,0.05031826,-1.2703773,0.3310991,-1.2346859,0.0019723177
2018-07-06,SZ000538,0.45857957,-0.5496186,0.6983181,-0.15477778,0.99695486,0.60627717,1.0393213,-1.5834136,-0.004960537
2018-07-06,SZ000560,1.9725657,-1.9777445,-0.04837304,-2.7827759,-0.23259324,-0.97269547,2.5106547,-0.22820063,0.027444243
2018-07-06,SZ000878,0.9891171,0.18863931,-0.049202695,-1.6742655,1.3465912,0.43011564,-0.115685716,-0.66488177,0.013015151
2018-07-06,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-06,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-06,SZ002265,1.9422883,0.05252284,0.6480935,-2.2045689,1.4077758,0.50085294,0.30923188,-0.31121942,0.010676146
2018-07-06,SZ002428,1.9156839,-0.15343225,0.2949531,-2.516966,1.0479772,0.4393591,0.70572764,-1.1842457,0.02399993
2018-07-06,SZ002727,2.3963945,-2.0666792,-0.8114954,-3.0,1.304328,0.2965003,3.0,-1.3398612,0.0056602955
2018-07-09,SH600096,-0.82931477,-0.55685455,-0.9214654,-0.14609571,-0.6075171,-1.0933589,1.2293875,-0.69530916,-0.027559102
2018-07-09,SZ000538,-0.2844481,-1.1588411,-0.9320183,-0.8480954,0.24735864,-1.182988,1.6612327,-1.3641692,-0.013880789
2018-07-09,SZ000560,1.1386466,-1.1622235,0.36695114,-1.3456471,-0.30476445,-0.39870307,1.4611301,-0.24033597,-0.038397253
2018-07-09,SZ000878,-0.11782219,-1.2860692,-0.81269944,-0.9350734,0.034102276,-0.5950131,1.8928827,-0.9379038,-0.04496795
2018-07-09,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-09,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-09,SZ002265,1.8665292,-2.2103548,0.19481759,-2.3749073,0.2779403,-0.5626933,3.0,-1.0859219,-0.025528193
2018-07-09,SZ002428,-0.539323,-0.8281485,-0.74936223,-0.33900958,0.40595552,-0.42296368,2.0499587,-1.24947,-0.045572877
2018-07-09,SZ002727,2.2463036,-2.2195225,-0.15471075,-3.0,0.56935155,-1.2660019,2.9727528,-2.2780974,-0.0025014877
2018-07-10,SH600096,-0.4576215,0.3334591,0.08066895,0.37574586,0.09298647,-0.9929112,0.32718846,-0.095456034,0.02024293
2018-07-10,SZ000538,0.97737163,-0.6402664,-1.0141947,-2.6030896,0.23759621,-0.24231274,-0.09433356,-1.6207359,0.01595962
2018-07-10,SZ000560,1.8415449,0.65985733,2.5951564,-0.10640776,-1.2985468,0.88161606,0.48559555,-0.53779745,0.060763955
2018-07-10,SZ000878,0.19337858,-0.48364025,0.092466265,-0.43846017,0.03317315,-0.8701546,1.1122378,-0.9473724,0.029147983
2018-07-10,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-10,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-10,SZ002265,-0.17951192,-0.3976369,-0.042879093,-0.09309106,0.6068977,-0.82009256,1.2619585,-0.5257614,0.025293589
2018-07-10,SZ002428,0.4825866,-0.8087326,0.23730208,-0.64961374,0.1353291,-0.7830227,1.5149572,-1.3695424,0.027285218
2018-07-10,SZ002727,-0.63241285,-0.40609115,-0.5580656,-0.03183425,-0.26728317,0.39545652,0.09744699,-1.1608664,0.03510976
2018-07-11,SH600096,0.6028147,1.4859124,1.1446633,1.5728385e-05,0.5911502,-1.1355869,-1.8505484,-0.6949827,0.003968239
2018-07-11,SZ000538,-0.12229877,-0.21828985,-0.14656596,-0.28313187,0.040103197,-0.6646497,-1.2439623,-1.5261583,0.03327155
2018-07-11,SZ000560,0.49790278,0.88225985,0.53199214,-0.45873928,-0.9248181,-0.065672174,-2.9217026,-1.035878,-0.029460073
2018-07-11,SZ000878,-0.20098577,0.8862178,0.7189887,0.6739036,0.7584507,-1.2220643,-2.445678,-0.59330887,0.0065358877
2018-07-11,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-11,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-11,SZ002265,1.0200194,0.663095,-0.09214249,-1.7921288,0.22261906,-0.1177952,-1.970679,-0.4674139,-0.011453748
2018-07-11,SZ002428,1.7122566,1.8487798,1.690102,-0.97164714,0.65860564,-0.8808665,-2.6077037,-0.674916,0.014608145
2018-07-11,SZ002727,0.27370062,-0.95582753,-0.5567402,-1.1926886,-1.0892465,0.6595932,-1.6022058,-0.21547881,0.013931036
2018-07-12,SH600096,0.39919662,-1.1203291,-0.58365345,-1.3749701,-0.61090404,-1.1270449,0.57712805,-0.6200011,0.005928874
2018-07-12,SZ000538,0.8255004,-0.8649609,0.7247255,-0.5880371,-0.66212493,-1.1054896,0.3243481,-1.1215304,0.007270932
2018-07-12,SZ000560,3.0,-3.0,1.5504262,-3.0,-2.3277285,-0.13361841,1.4281815,-0.40741372,0.0
2018-07-12,SZ000878,0.8035877,-1.7837437,-0.9039617,-2.1894226,-0.44935697,-1.263468,0.36211613,-0.54340905,0.0010823011
2018-07-12,SZ002053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06945968
2018-07-12,SZ002059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
