,,risk
excess_return_without_cost,mean,0.0014022427227293292
excess_return_without_cost,std,0.011807944328085445
excess_return_without_cost,annualized_return,0.3337337680095804
excess_return_without_cost,information_ratio,1.8320502289663132
excess_return_without_cost,max_drawdown,-0.03466322876136817
excess_return_with_cost,mean,0.001016534459935305
excess_return_with_cost,std,0.011836817769944647
excess_return_with_cost,annualized_return,0.2419352014646026
excess_return_with_cost,information_ratio,1.3248771882413783
excess_return_with_cost,max_drawdown,-0.03603897510168609
